ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
J,P59,CLODERM COMPUESTO BT CREMA X 20 GR,CREMA,LYAFARM,2089383,ago-26,UND,4,15,16,3, 8.00 ,
T,P60,CLORURO DE SODIO 0.9 % X 100 ML,SOLUCION,BRAUM,2427678101,jul-27,UND,159,50,171,38, 6.00 ,
T,P61,CLORURO DE SODIO 0.9 % X 250 ML,SOLUCION,BRAUM,2339278101,may-26,UND,59,50,107,2, 8.00 ,
K,P62,CROMUS 0.03 % TUBO X 15 GR ,UNGUENTO,PROCAPS,1508318,mar-26,UND,0,49,45,4, 69.00 ,
K,P63,CROMUS 0.1 % TUBO X 15 GR,UNGUENTO,PROCAPS,1510874,abr-26,UND,12,57,57,12, 96.00 ,
M-1,P64,C-TETRA EYE X 7 ML,FCO,MEDIK8,31671,,UND,1,0,1,0, 118.00 ,
V-1,P65,CUTIFRESH WASH GEL LIMP X 240 ML,GEL,CARNOT,2403033,mar-26,UND,6,196,192,10, 80.00 ,
M-1,P66,DAILY RADIANCE VITAMIN C CREMA  X 50 ML,CREMA,MEDIK8,,,UND,1,0,1,0, 299.00 ,
V-2,P67,DERCOS ANTICASPA DS CHAMPU ANTICASPA CABELLO NORMAL A GRASO X 200 ML,FCO,VICHY,44XN00/44W001/44Y701,jul-26,UND,11,14,21,4, 88.90 ,
V-2,P68,DERCOS ANTICASPA DS CHAMPU ANTICASPA CABELLO SECO X 200 ML,FCO,VICHY,44Y600,jun-27,UND,6,11,11,6, 88.90 ,
V-2,P69,DERCOS ENERGY+ AMINEXIL CHAMPU X 200 ML,FCO,VICHY,44Y500,may-27,UND,1,15,8,8, 88.90 ,
V-1,P70,DERMAGLOS SOLAR EFECTOSECO SPF 40 X 180 GR,FCO,FISSION LAB,86,mar-26,UND,2,1,2,1, 121.00 ,
J,P71,DERMOVATE 0.05 % SOL CUTANEA (USO CAPILAR) X 30 ML,SOLUCION,GSK,23A001,,UND,6,0,6,0, 84.00 ,
,P72,DUCRAY CREASTIM LOCION ANTICAIDA 1 X 30 ML,LOCION,DUCRAY,,,CAJ X 1,1,0,1,0, 140.00 ,
,P73,DUCRAY CREASTIM LOCION ANTICAIDA 2 X 30 ML,LOCION,DUCRAY,F1043,,CAJ X 2,2,0,2,0, 280.00 ,
T,P74,DURAPORE 12 CORTES 2.5 CM X 9.1 M (1538-1),DM,3M,33AJ98/106542262,sep-25,CAJ X 12,6,168,66,108, 10.00 ,
T,P75,DURAPORE 6 CORTES 5 CM X 9.1 M (1538-2),DM,3M,103422795,,CAJ X 6 ,6,0,6,0, 15.00 ,
M-1,P76,EDAPIL M ESPUMA CUTANEA X 100 GR,ESPUMA,MEDIHEALTH,S14142,dic-25,UND,12,34,39,7, 138.00 ,
V-2,P77,EFFACLAR DUO+ CORRECTOR X 40 ML,TBO,LA ROCHE POSAY,,,UND,1,0,1,0, 102.00 ,
M-2,P78,ENDOCARE LOCION REGENERADORA DE ZONAS EXTENSAS X 100 ML,LOCION,CANTABRIA LABS,,,UND,1,0,1,0, 85.00 ,
M-2,P79,EPI-DERM LAMINA 14.5 X 3.5 X 0.09 CM,SILICONA-GEL,DISPOLAB,903254,jun-28,UND,3,10,5,8, 150.00 ,
I,P80,ESFUMEL TX CREMA DESPIGMENTANTE X 20 GR,CREMA,VALUGE,EJ209,jun-27,UND,1,38,20,19, 127.00 ,
A,P81,ESPIRONOLACTONA 100 MG,TABLETAS,AC FARMA,2080613,ago-26,CAJ X 100,185,200,250,135, 2.50 ,
EUCERIN,P82,EUCERIN AQUAPHOR POMADA REPARADORA X 55 ML,POMADA,EUCERIN,42128157,oct-26,UND,1,5,1,5, 80.00 ,
