cie10_clase;clase;cie10_enfermedad;nombre_enfermedad
A15 - A19;TUBERCULOSIS;A1883;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A1891;TUBERCULOSIS EXTRAPULMONAR SIN CONFIRMACION
A15 - A19;TUBERCULOSIS;A1892;TUBERCULOSIS EXTRAPULMONAR CON CONFIRMACION HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1893;TUBERCULOSIS EXTRAPULMONAR CON CONFIRMACION BACTERIOLOGICA
A15 - A19;TUBERCULOSIS;A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A15 - A19;TUBERCULOSIS;A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A15 - A19;TUBERCULOSIS;A192;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA
A15 - A19;TUBERCULOSIS;A198;OTRAS TUBERCULOSIS MILIARES
A15 - A19;TUBERCULOSIS;A199;TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A200;PESTE BUBONICA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A201;PESTE CELULOCUTANEA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A202;PESTE NEUMONICA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A203;MENINGITIS POR PESTE
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A207;PESTE SEPTICEMICA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A208;OTRAS FORMAS DE PESTE
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A209;PESTE, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A210;TULAREMIA ULCEROGLANDULAR
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A211;TULAREMIA OCULOGLANDULAR
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A212;TULAREMIA PULMONAR
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A213;TULAREMIA GASTROINTESTINAL
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A217;TULAREMIA GENERALIZADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A218;OTRAS FORMAS DE TULAREMIA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A219;TULAREMIA, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A220;CARBUNCO CUTANEO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A221;CARBUNCO PULMONAR
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A222;CARBUNCO GASTROINTESTINAL
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A227;CARBUNCO SEPTICO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A228;OTRAS FORMAS DE CARBUNCO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A229;CARBUNCO, NO ESPECIFICADO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A238;OTRAS BRUCELOSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A239;BRUCELOSIS, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A240;MUERMO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A241;MELIOIDOSIS AGUDA Y FULMINANTE
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A242;MELIOIDOSIS SUBAGUDA Y CRONICA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A243;OTRAS MELIOIDOSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A244;MELIOIDOSIS, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A250;ESPIRILOSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A251;ESTREPTOBACILOSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A260;ERISIPELOIDE CUTANEO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A267;SEPSIS POR ERYSIPELOTHRIX
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A268;OTRAS FORMAS DE ERISIPELOIDE
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A269;ERISIPELOIDE, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A270;LEPTOSPIROSIS ICTEROHEMORRAGICA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A278;OTRAS FORMAS DE LEPTOSPIROSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A279;LEPTOSPIROSIS, NO ESPECIFICADA
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A280;PASTEURELOSIS
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A281;ENFERMEDAD POR RASGUÑO DE GATO
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A282;YERSINIOSIS EXTRAINTESTINAL
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE
A20 - A28;CIERTAS ZOONOSIS BACTERIANAS;A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A300;LEPRA INDETERMINADA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A301;LEPRA TUBERCULOIDE
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A302;LEPRA TUBERCULOIDE LIMITROFE
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A303;LEPRA LIMITROFE
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A304;LEPRA LEPROMATOSA LIMITROFE
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A305;LEPRA LEPROMATOSA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A308;OTRAS FORMAS DE LEPRA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A309;LEPRA, NO ESPECIFICADA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A310;INFECCIONES POR MICOBACTERIAS PULMONARES
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A311;INFECCION CUTANEA POR MICOBACTERIAS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A318;OTRAS INFECCIONES POR MICOBACTERIAS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A320;LISTERIOSIS CUTANEA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A327;SEPSIS LISTERIANA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A328;OTRAS FORMAS DE LISTERIOSIS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A329;LISTERIOSIS, NO ESPECIFICADA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A33X;TETANOS NEONATAL
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A34X;TETANOS OBSTETRICO
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A35X;OTROS TETANOS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A360;DIFTERIA FARINGEA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A361;DIFTERIA NASOFARINGEA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A362;DIFTERIA LARINGEA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A363;DIFTERIA CUTANEA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A368;OTRAS DIFTERIAS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A369;DIFTERIA, NO ESPECIFICADA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A379;TOS FERINA, NO ESPECIFICADA
A30 - A49;OTRAS ENFERMEDADES BACTERIANAS;A38X;ESCARLATINA
